S_Log_All_Crisis_Yes,S_Log_Exchange,Date,greece
6.13704,0.3463702,20070101,9.9991762386
6.122672,0.3451358,20070102,10.5651673464
6.110374,0.3433802,20070103,11.5084858595
6.097658,0.341152,20070104,12.26314067
6.085103,0.338563,20070105,12.8291317778
6.06432,0.3357078,20070106,10.5651673464
6.040688,0.3326794,20070107,12.6404680752
6.017975,0.3295193,20070108,13.2064591831
6.001564,0.3262419,20070109,13.3951228857
5.994758,0.3228742,20070110,13.3951228857
5.989263,0.3194842,20070111,13.3951228857
5.989765,0.3161101,20070112,15.2817599118
5.992136,0.3127825,20070113,10.5651673464
5.991139,0.3095258,20070114,13.0177954804
5.992054,0.3063531,20070115,11.8858132647
5.997009,0.3033032,20070116,14.3384413987
6.003436,0.3003786,20070117,13.2064591831
6.01126,0.297605,20070118,12.8291317778
6.017044,0.2949812,20070119,11.1311584543
6.013922,0.2925052,20070120,11.1311584543
6.005281,0.2901651,20070121,12.8291317778
5.997968,0.2880108,20070122,13.7724502909
5.992725,0.2859816,20070123,14.1497776961
5.991355,0.2840864,20070124,14.3384413987
5.990371,0.2822638,20070125,12.4518043726
5.992751,0.2805183,20070126,11.1311584543
5.99051,0.2788526,20070127,11.3198221569
5.980831,0.2772985,20070128,12.6404680752
5.974473,0.2758548,20070129,13.2064591831
5.971481,0.274549,20070130,13.0177954804
5.973752,0.2733856,20070131,13.3951228857
5.978526,0.2723022,20070201,12.4518043726
5.985598,0.2712945,20070202,12.4518043726
5.983343,0.2703581,20070203,10.5651673464
5.97231,0.269468,20070204,12.6404680752
5.963664,0.2686521,20070205,13.0177954804
5.958466,0.2679438,20070206,13.3951228857
5.959578,0.2673403,20070207,13.5837865883
5.965482,0.2668056,20070208,12.4518043726
5.976077,0.2663319,20070209,12.26314067
5.981459,0.2659124,20070210,11.1311584543
5.98614,0.2655078,20070211,12.0744769674
5.995394,0.2651671,20070212,12.6404680752
6.006107,0.2649596,20070213,13.3951228857
6.01832,0.2648727,20070214,11.1311584543
6.036445,0.264882,20070215,12.4518043726
6.059789,0.2649692,20070216,13.0177954804
6.076849,0.2651187,20070217,10.3765036438
6.084061,0.265317,20070218,13.2064591831
6.089345,0.2655506,20070219,12.26314067
6.094837,0.2658045,20070220,12.6404680752
6.10335,0.2660783,20070221,13.9611139935
6.113653,0.2663883,20070222,13.3951228857
6.123722,0.2667245,20070223,12.6404680752
6.125975,0.2670786,20070224,10.3765036438
6.1223,0.2674398,20070225,12.8291317778
6.117786,0.2678691,20070226,13.5837865883
6.113911,0.2683372,20070227,13.2064591831
6.113652,0.2687888,20070228,13.9611139935
6.116192,0.2692294,20070301,12.8291317778
6.120095,0.2696566,20070302,12.0744769674
6.114204,0.2700688,20070303,10.9424947517
6.096654,0.2703977,20070304,12.26314067
6.080714,0.2706665,20070305,13.0177954804
6.068629,0.2709143,20070306,13.9611139935
6.061271,0.2711284,20070307,14.5271051014
6.055498,0.2713045,20070308,14.3384413987
6.054596,0.271448,20070309,14.1497776961
6.051813,0.2715639,20070310,12.0744769674
6.046406,0.2717078,20070311,14.1497776961
6.043362,0.2718828,20070312,15.0930962092
6.044466,0.2721025,20070313,14.1497776961
6.052202,0.2723728,20070314,15.4704236144
6.06371,0.2727251,20070315,13.7724502909
6.076264,0.2731402,20070316,13.3951228857
6.083691,0.2736021,20070317,12.6404680752
6.091599,0.2740913,20070318,12.6404680752
6.102455,0.2745916,20070319,14.715768804
6.118158,0.2751065,20070320,14.9044325066
6.136605,0.2756686,20070321,15.0930962092
6.157102,0.2762204,20070322,13.9611139935
6.177644,0.2767586,20070323,13.7724502909
6.192521,0.2772801,20070324,16.9797332354
6.200044,0.2778086,20070325,18.8663702615
6.2106,0.2783532,20070326,16.2250784249
6.223099,0.2788858,20070327,15.0930962092
6.238561,0.2794072,20070328,14.9044325066
6.257253,0.2799427,20070329,13.7724502909
6.272027,0.2804843,20070330,14.5271051014
6.275391,0.2810255,20070331,12.046867645
6.275201,0.2815608,20070401,13.6413060098
6.278307,0.2820779,20070402,13.2869863732
6.283363,0.2825757,20070403,13.4641461915
6.289302,0.2830993,20070404,13.2869863732
6.295403,0.2836042,20070405,13.9956256464
6.3009,0.2840888,20070406,13.9956256464
6.301149,0.2845523,20070407,13.1098265549
6.301848,0.2849842,20070408,12.7555069183
6.303563,0.2854377,20070409,13.8184658281
6.306609,0.2859042,20070410,14.5271051014
6.315197,0.2864122,20070411,13.9956256464
6.326216,0.286974,20070412,13.4641461915
6.335747,0.2875736,20070413,12.9326667366
6.339512,0.2881979,20070414,12.5783471
6.336435,0.2888597,20070415,12.7555069183
6.335485,0.2895592,20070416,14.7042649197
6.337916,0.2902858,20070417,14.5271051014
6.343112,0.2910501,20070418,14.5271051014
6.351329,0.2918342,20070419,13.6413060098
6.355784,0.2926266,20070420,12.9326667366
6.35521,0.2934178,20070421,11.3382283718
6.35049,0.2941846,20070422,13.4641461915
6.349036,0.2949548,20070423,14.881424738
6.351631,0.2957385,20070424,16.1215434661
6.355869,0.2964835,20070425,15.7672238295
6.35996,0.2972152,20070426,15.2357443746
6.366124,0.297929,20070427,13.1098265549
6.367882,0.2986211,20070428,10.9839087352
6.361387,0.2993143,20070429,14.7042649197
6.354374,0.2999575,20070430,15.2357443746
6.346354,0.3005524,20070501,17.3616621943
6.336843,0.3010785,20070502,17.184502376
6.326432,0.3015591,20070503,17.5388220126
6.317852,0.3019981,20070504,15.5900640112
6.310224,0.302399,20070505,13.1098265549
6.299113,0.3027864,20070506,14.7042649197
6.288756,0.303097,20070507,15.5900640112
6.280705,0.3033549,20070508,16.2987032844
6.276656,0.3035401,20070509,15.5900640112
6.27622,0.3036699,20070510,15.0585845563
6.276002,0.3037535,20070511,14.349945283
6.276747,0.3037987,20070512,14.1727854647
6.276237,0.303831,20070513,15.4129041929
6.27812,0.3038958,20070514,16.6530229211
6.283038,0.3039267,20070515,17.7159818309
6.287143,0.3039091,20070516,16.8301827394
6.291124,0.3038649,20070517,16.2987032844
6.297717,0.3037997,20070518,16.6530229211
6.299535,0.303718,20070519,13.4641461915
6.296648,0.3035838,20070520,15.0585845563
6.298497,0.3034137,20070521,16.4758631028
6.303906,0.3032294,20070522,16.2987032844
6.31277,0.3029961,20070523,15.5900640112
6.324847,0.3027427,20070524,15.9443836478
6.335515,0.3024754,20070525,13.9956256464
6.341555,0.3021995,20070526,12.9326667366
6.344366,0.3019195,20070527,12.2240274633
6.349584,0.301662,20070528,14.1727854647
6.359659,0.3013776,20070529,15.9443836478
6.373538,0.3010997,20070530,15.9443836478
6.390743,0.30082,20070531,15.4129041929
6.411738,0.3005418,20070601,13.8184658281
6.430544,0.3002675,20070602,13.1098265549
6.440713,0.3000349,20070603,15.4129041929
6.450378,0.2998663,20070604,15.2357443746
6.463287,0.2997263,20070605,14.7042649197
6.480803,0.299584,20070606,15.9443836478
6.500806,0.2993689,20070607,14.7042649197
6.525251,0.2990971,20070608,13.8184658281
6.550413,0.298782,20070609,12.9326667366
6.569159,0.298435,20070610,15.9443836478
6.586068,0.2980402,20070611,15.0585845563
6.600862,0.297588,20070612,15.4129041929
6.61317,0.2971058,20070613,14.5271051014
6.623828,0.2966448,20070614,13.6413060098
6.629767,0.2962055,20070615,13.1098265549
6.629261,0.2957881,20070616,11.3382283718
6.622719,0.2954196,20070617,14.349945283
6.619383,0.2951055,20070618,15.0585845563
6.61902,0.2948462,20070619,13.4641461915
6.619394,0.2946136,20070620,14.1727854647
6.617897,0.2944341,20070621,14.349945283
6.615088,0.2942993,20070622,13.1098265549
6.609162,0.2942022,20070623,13.6413060098
6.603162,0.2941454,20070624,14.1727854647
6.601438,0.2941353,20070625,14.7042649197
6.602738,0.2941371,20070626,14.5271051014
6.600935,0.294173,20070627,15.0585845563
6.602402,0.2942761,20070628,14.7163439982
6.605479,0.2944328,20070629,14.7163439982
6.602851,0.2946312,20070630,15.0585845563
6.592564,0.2949403,20070701,15.4008251144
6.58857,0.2953272,20070702,15.7430656725
6.587811,0.2957731,20070703,15.0585845563
6.588981,0.2962455,20070704,14.7163439982
6.589111,0.2967597,20070705,14.7163439982
6.588502,0.2973025,20070706,14.031862882
6.580873,0.2978631,20070707,12.6629006496
6.568699,0.2984303,20070708,14.031862882
6.559922,0.2990638,20070709,15.0585845563
6.556807,0.2997759,20070710,15.0585845563
6.555821,0.3005583,20070711,14.3741034401
6.555004,0.3013987,20070712,15.0585845563
