SQLDATE,c,c_yes,c_yes_tone_negativ,c_yes_tone_positive
20070101,9340,2,0,2
20070102,13025,18,0,18
20070103,18343,37,0,37
20070104,20793,25,0,25
20070105,19530,87,0,85
20070106,12830,14,0,14
20070107,13867,37,0,27
20070108,18974,39,0,39
20070109,26176,35,0,35
20070110,27549,114,0,114
20070111,29318,31,0,31
20070112,25234,174,0,170
20070113,18048,107,0,107
20070114,18195,45,0,45
20070115,21999,89,0,88
20070116,23901,147,0,147
20070117,27189,46,0,46
20070118,29208,68,0,68
20070119,25589,76,0,76
20070120,17394,46,0,46
20070121,16207,17,0,17
20070122,24011,36,0,34
20070123,23490,36,0,36
20070124,27157,122,0,122
20070125,25755,61,0,61
20070126,25349,58,0,58
20070127,16202,24,2,22
20070128,16352,22,0,22
20070129,25027,73,0,73
20070130,28412,74,0,74
20070131,25479,114,0,114
20070201,25428,107,0,107
20070202,24462,105,0,105
20070203,16387,5,0,5
20070204,15683,18,0,18
20070205,24270,107,0,107
20070206,28031,78,0,78
20070207,27649,125,0,125
20070208,26791,65,0,65
20070209,25896,83,0,83
20070210,15462,23,0,23
20070211,15358,31,0,31
20070212,25293,47,0,47
20070213,26446,17,2,15
20070214,26318,27,0,27
20070215,27606,138,2,136
20070216,23899,50,0,50
20070217,17312,8,0,8
20070218,14973,12,0,12
20070219,21625,23,0,23
20070220,25556,75,0,75
20070221,28042,74,0,74
20070222,26392,38,0,38
20070223,25689,17,0,17
20070224,17734,22,0,22
20070225,17288,36,0,36
20070226,25112,69,0,63
20070227,29434,37,0,37
20070228,27652,18,0,18
20070301,26741,107,0,107
20070302,24084,131,0,131
20070303,16429,16,0,16
20070304,17589,30,0,30
20070305,24637,141,0,141
20070306,29102,133,0,133
20070307,28425,148,0,148
20070308,25896,85,0,85
20070309,24543,129,0,129
20070310,17764,111,0,111
20070311,16687,85,0,83
20070312,26968,93,0,82
20070313,30276,108,0,108
20070314,29329,234,0,234
20070315,29010,250,0,250
20070316,25836,174,0,174
20070317,18201,38,0,38
20070318,17983,71,0,71
20070319,30188,32,0,30
20070320,40824,191,0,185
20070321,37756,161,0,161
20070322,39204,84,0,84
20070323,31438,140,0,140
20070324,31428,54,0,54
20070325,27143,23,0,23
20070326,49109,152,0,152
20070327,43684,101,0,101
20070328,44894,118,0,114
20070329,49729,216,0,207
20070330,37481,41,0,41
20070331,12369,8,0,8
20070401,30054,54,0,54
20070402,40008,98,0,98
20070403,45711,72,0,70
20070404,42160,109,0,109
20070405,40379,162,0,162
20070406,30547,215,0,215
20070407,22012,172,0,172
20070408,22211,138,0,138
20070409,33002,147,0,147
20070410,39627,85,0,85
20070411,40775,106,0,100
20070412,42021,48,0,48
20070413,36337,58,0,58
20070414,22950,16,0,16
20070415,23331,29,0,29
20070416,40624,76,0,72
20070417,41826,137,0,137
20070418,42534,258,0,258
20070419,43078,265,0,265
20070420,38290,88,0,88
20070421,24637,82,0,74
20070422,24174,38,0,38
20070423,37597,189,0,186
20070424,43042,126,0,122
20070425,40508,135,0,135
20070426,39451,177,0,177
20070427,37918,218,0,218
20070428,25621,132,0,132
20070429,24183,30,0,30
20070430,35308,90,0,90
20070501,36141,100,0,100
20070502,39078,35,0,35
20070503,42523,57,0,57
20070504,36867,138,0,138
20070505,22328,73,0,73
20070506,22070,31,0,31
20070507,34789,83,0,79
20070508,39022,87,0,85
20070509,41153,84,0,84
20070510,42133,147,0,147
20070511,36550,79,0,79
20070512,24790,26,0,26
20070513,24773,61,0,61
20070514,38332,72,0,63
20070515,40809,173,0,173
20070516,41266,61,0,61
20070517,38856,93,0,89
20070518,37408,85,0,78
20070519,24794,45,0,40
20070520,24263,59,0,59
20070521,40763,201,0,201
20070522,43047,181,0,181
20070523,44878,186,0,182
20070524,40297,149,0,148
20070525,38020,77,0,75
20070526,24207,44,0,44
20070527,23969,60,0,60
20070528,35059,57,0,57
20070529,40912,149,0,145
20070530,44980,125,0,125
20070531,44758,266,0,262
20070601,38925,182,0,178
20070602,25288,109,0,109
20070603,25992,56,0,56
20070604,43056,114,0,114
20070605,44007,203,0,187
20070606,46732,272,0,268
20070607,43357,261,0,258
20070608,41827,128,0,128
20070609,26870,82,0,78
20070610,24756,121,0,121
20070611,42120,175,0,175
20070612,40031,153,0,151
20070613,35856,183,0,167
20070614,43651,160,0,155
20070615,37251,121,0,121
20070616,25498,73,0,61
20070617,23601,50,0,50
20070618,42767,130,0,130
20070619,41442,136,0,132
20070620,41404,91,0,89
20070621,39257,138,0,134
20070622,37002,168,0,168
20070623,23678,143,0,143
20070624,22668,37,0,37
20070625,40213,204,0,204
20070626,39098,157,0,154
20070627,38795,123,0,116
20070628,37733,191,0,191
20070629,34343,157,0,156
20070630,21313,50,0,50
20070701,21272,11,0,11
20070702,35819,92,0,88
20070703,38227,98,0,98
20070704,34950,82,0,82
20070705,35103,60,0,60
20070706,34236,112,0,112
20070707,22068,65,0,65
20070708,20444,65,0,63
20070709,39837,233,0,231
20070710,40051,132,0,132
20070711,40227,119,0,119
20070712,36630,157,0,157
20070713,34897,83,0,83
20070714,21770,28,0,28
20070715,22870,51,0,51
20070716,38181,115,0,113
20070717,38288,78,0,70
20070718,15646,59,0,59
20070719,39098,116,0,116
20070720,35407,131,0,129
20070721,22066,91,0,91
20070722,21522,55,0,55
20070723,13973,73,0,73
20070724,41126,124,0,124
20070725,38790,258,0,253
20070726,35129,266,0,266
20070727,34257,208,0,208
20070728,20430,53,0,53
20070729,20242,28,0,21
20070730,34290,77,0,73
20070731,34055,63,0,63
20070801,35160,82,0,82
20070802,17738,94,0,94
20070803,31937,89,0,89
20070804,19540,34,0,34
20070805,19129,81,0,81
20070806,36089,139,0,139
20070807,14076,15,0,15
20070808,33006,36,0,36
20070809,12150,23,0,23
20070810,31631,85,0,85
20070811,19503,61,0,61
20070812,18824,22,0,22
20070813,33096,39,0,39
20070814,20500,51,0,51
20070815,33200,93,0,93
20070816,33564,152,0,152
20070817,26794,169,0,169
20070818,20731,91,0,91
20070819,13823,48,0,36
20070820,28353,47,0,39
20070821,35867,133,0,133
20070822,35462,161,0,161
20070823,34269,52,0,52
20070824,31335,226,0,226
20070825,19086,334,0,332
20070826,19769,304,0,303
20070827,13991,262,0,262
20070828,12188,92,0,92
20070829,12317,71,0,71
20070830,11690,51,0,51
20070831,9821,85,0,77
20070901,7795,55,0,55
20070902,7275,64,0,64
20070903,8756,71,0,71
20070904,90380,431,0,427
20070905,45009,122,0,114
20070906,41577,88,0,88
20070907,12101,34,0,34
20070908,28440,109,0,109
20070909,28998,95,0,95
20070910,47509,106,0,106
20070911,45706,41,0,41
20070912,40729,77,0,77
20070913,13420,40,0,40
20070914,41387,134,0,134
20070915,12424,70,0,70
20070916,9649,130,0,130
20070917,58662,314,0,312
20070918,45384,116,0,116
20070919,46903,202,0,200
20070920,49137,206,0,206
20070921,39330,129,0,124
20070922,27871,54,0,54
20070923,28066,42,0,42
20070924,25643,64,0,64
20070925,45613,158,0,158
20070926,46873,93,0,93
20070927,31977,60,0,60
20070928,13508,27,0,27
20070929,8837,36,0,32
20070930,8428,27,0,27
20071001,13368,13,0,13
20071002,71836,247,0,247
20071003,43478,91,0,91
20071004,44171,96,0,96
20071005,39620,117,0,117
20071006,23870,60,0,60
20071007,24731,72,0,70
20071008,40722,167,0,167
20071009,41111,132,0,125
20071010,40524,86,0,86
20071011,43275,246,0,246
20071012,41480,204,0,196
20071013,23330,53,0,53
20071014,25613,141,0,131
20071015,43679,127,0,125
20071016,18188,28,0,28
20071017,48197,47,0,47
20071018,45045,134,0,134
20071019,40718,127,0,125
20071020,24598,28,0,28
20071021,28670,35,0,35
20071022,44806,106,0,106
20071023,46794,129,0,129
20071024,46181,122,0,122
20071025,20570,232,0,232
20071026,17287,74,0,70
20071027,27041,48,0,46
20071028,27297,35,0,35
20071029,41591,168,0,168
20071030,48243,195,0,195
20071031,43779,132,0,132
20071101,45693,96,0,96
20071102,41230,137,0,137
20071103,30109,31,0,31
20071104,29777,9,0,9
20071105,46331,87,0,87
20071106,49378,76,0,76
20071107,18255,109,0,109
20071108,42525,162,0,157
20071109,41103,162,0,143
20071110,25983,47,0,47
20071111,25454,81,0,81
20071112,39066,56,0,56
20071113,41578,81,0,81
20071114,42131,54,0,54
20071115,16038,7,0,7
20071116,38784,98,0,98
20071117,22334,42,0,42
