SQLDATE,c,c_yes,c_yes_tone_negativ,c_yes_tone_positive
20070101,9340,177,0,177
20070102,13025,253,0,253
20070103,18343,513,0,513
20070104,20793,372,0,372
20070105,19530,323,0,315
20070106,12830,162,0,162
20070107,13867,211,1,210
20070108,18974,295,0,295
20070109,26176,563,0,555
20070110,27549,812,0,812
20070111,29318,468,0,468
20070112,25234,564,0,564
20070113,18048,489,0,482
20070114,18195,314,0,314
20070115,21999,508,3,490
20070116,23901,568,2,564
20070117,27189,571,0,571
20070118,29208,688,0,683
20070119,25589,408,1,405
20070120,17394,180,0,178
20070121,16207,271,0,266
20070122,24011,467,0,467
20070123,23490,545,0,544
20070124,27157,545,0,545
20070125,25755,433,0,421
20070126,25349,535,0,535
20070127,16202,292,0,292
20070128,16352,208,0,208
20070129,25027,485,0,479
20070130,28412,510,0,508
20070131,25479,639,0,639
20070201,25428,492,0,489
20070202,24462,555,0,552
20070203,16387,203,0,202
20070204,15683,164,0,162
20070205,24270,398,0,389
20070206,28031,489,0,489
20070207,27649,717,0,717
20070208,26791,714,0,714
20070209,25896,785,0,785
20070210,15462,316,4,312
20070211,15358,452,0,452
20070212,25293,797,0,797
20070213,26446,634,0,634
20070214,26318,667,0,662
20070215,27606,979,2,952
20070216,23899,1190,0,1190
20070217,17312,473,0,471
20070218,14973,253,0,253
20070219,21625,471,0,471
20070220,25556,515,0,513
20070221,28042,793,0,792
20070222,26392,809,0,809
20070223,25689,716,0,716
20070224,17734,291,0,291
20070225,17288,277,0,277
20070226,25112,455,0,443
20070227,29434,589,0,589
20070228,27652,692,0,687
20070301,26741,655,0,650
20070302,24084,590,0,578
20070303,16429,216,1,206
20070304,17589,140,0,140
20070305,24637,295,0,293
20070306,29102,462,0,462
20070307,28425,509,0,509
20070308,25896,458,0,452
20070309,24543,591,0,587
20070310,17764,359,0,358
20070311,16687,331,0,331
20070312,26968,540,1,539
20070313,30276,688,0,679
20070314,29329,957,0,957
20070315,29010,744,0,744
20070316,25836,650,0,646
20070317,18201,402,0,402
20070318,17983,646,0,645
20070319,30188,994,0,994
20070320,40824,1078,0,1071
20070321,37756,863,0,863
20070322,39204,1011,47,964
20070323,31438,798,54,744
20070324,31428,526,8,514
20070325,27143,417,7,409
20070326,49109,779,5,773
20070327,43684,829,5,816
20070328,44894,985,5,973
20070329,49729,932,9,921
20070330,37481,569,9,560
20070331,12369,269,9,260
20070401,30054,456,0,456
20070402,40008,771,0,771
20070403,45711,772,0,768
20070404,42160,695,0,695
20070405,40379,593,0,593
20070406,30547,459,3,456
20070407,22012,248,0,219
20070408,22211,639,0,639
20070409,33002,618,2,616
20070410,39627,741,0,741
20070411,40775,1147,0,1147
20070412,42021,975,0,975
20070413,36337,710,0,710
20070414,22950,446,0,430
20070415,23331,391,0,391
20070416,40624,795,0,795
20070417,41826,882,0,878
20070418,42534,725,0,714
20070419,43078,811,0,811
20070420,38290,498,0,498
20070421,24637,481,0,480
20070422,24174,415,0,415
20070423,37597,669,0,664
20070424,43042,903,0,903
20070425,40508,710,0,706
20070426,39451,577,0,575
20070427,37918,660,0,656
20070428,25621,365,0,365
20070429,24183,300,0,300
20070430,35308,510,0,510
20070501,36111,474,0,467
20070502,39059,460,0,460
20070503,42513,497,0,497
20070504,36818,497,0,490
20070505,22273,575,0,575
20070506,22012,353,0,353
20070507,34750,495,0,495
20070508,38999,607,0,607
20070509,41130,785,0,777
20070510,42133,724,0,714
20070511,36550,588,0,588
20070512,24790,698,0,698
20070513,24773,484,0,479
20070514,38332,745,0,745
20070515,40809,717,0,708
20070516,41266,637,0,635
20070517,38856,587,0,587
20070518,37408,844,0,844
20070519,24794,398,0,398
20070520,24263,372,0,372
20070521,40763,804,0,802
20070522,43047,842,0,842
20070523,44878,877,0,877
20070524,40297,894,0,892
20070525,38020,645,0,629
20070526,24207,458,0,458
20070527,23969,487,0,487
20070528,35059,866,0,866
20070529,40912,1017,0,1015
20070530,44980,1092,0,1092
20070531,44758,993,0,993
20070601,38925,1171,0,1167
