date,greece
2006-12-31,7.92387550983
2007-01-01,9.9991762386
2007-01-02,10.5651673464
2007-01-03,11.5084858595
2007-01-04,12.26314067
2007-01-05,12.8291317778
2007-01-06,10.5651673464
2007-01-07,12.6404680752
2007-01-08,13.2064591831
2007-01-09,13.3951228857
2007-01-10,13.3951228857
2007-01-11,13.3951228857
2007-01-12,15.2817599118
2007-01-13,10.5651673464
2007-01-14,13.0177954804
2007-01-15,11.8858132647
2007-01-16,14.3384413987
2007-01-17,13.2064591831
2007-01-18,12.8291317778
2007-01-19,11.1311584543
2007-01-20,11.1311584543
2007-01-21,12.8291317778
2007-01-22,13.7724502909
2007-01-23,14.1497776961
2007-01-24,14.3384413987
2007-01-25,12.4518043726
2007-01-26,11.1311584543
2007-01-27,11.3198221569
2007-01-28,12.6404680752
2007-01-29,13.2064591831
2007-01-30,13.0177954804
2007-01-31,13.3951228857
2007-02-01,12.4518043726
2007-02-02,12.4518043726
2007-02-03,10.5651673464
2007-02-04,12.6404680752
2007-02-05,13.0177954804
2007-02-06,13.3951228857
2007-02-07,13.5837865883
2007-02-08,12.4518043726
2007-02-09,12.26314067
2007-02-10,11.1311584543
2007-02-11,12.0744769674
2007-02-12,12.6404680752
2007-02-13,13.3951228857
2007-02-14,11.1311584543
2007-02-15,12.4518043726
2007-02-16,13.0177954804
2007-02-17,10.3765036438
2007-02-18,13.2064591831
2007-02-19,12.26314067
2007-02-20,12.6404680752
2007-02-21,13.9611139935
2007-02-22,13.3951228857
2007-02-23,12.6404680752
2007-02-24,10.3765036438
2007-02-25,12.8291317778
2007-02-26,13.5837865883
2007-02-27,13.2064591831
2007-02-28,13.9611139935
2007-03-01,12.8291317778
2007-03-02,12.0744769674
2007-03-03,10.9424947517
2007-03-04,12.26314067
2007-03-05,13.0177954804
2007-03-06,13.9611139935
2007-03-07,14.5271051014
2007-03-08,14.3384413987
2007-03-09,14.1497776961
2007-03-10,12.0744769674
2007-03-11,14.1497776961
2007-03-12,15.0930962092
2007-03-13,14.1497776961
2007-03-14,15.4704236144
2007-03-15,13.7724502909
2007-03-16,13.3951228857
2007-03-17,12.6404680752
2007-03-18,12.6404680752
2007-03-19,14.715768804
2007-03-20,14.9044325066
2007-03-21,15.0930962092
2007-03-22,13.9611139935
2007-03-23,13.7724502909
2007-03-24,16.9797332354
2007-03-25,18.8663702615
2007-03-26,16.2250784249
2007-03-27,15.0930962092
2007-03-28,14.9044325066
2007-03-29,13.7724502909
2007-03-30,14.5271051014
2007-03-31,12.046867645
2007-04-01,13.6413060098
2007-04-02,13.2869863732
2007-04-03,13.4641461915
2007-04-04,13.2869863732
2007-04-05,13.9956256464
2007-04-06,13.9956256464
2007-04-07,13.1098265549
2007-04-08,12.7555069183
2007-04-09,13.8184658281
2007-04-10,14.5271051014
2007-04-11,13.9956256464
2007-04-12,13.4641461915
2007-04-13,12.9326667366
2007-04-14,12.5783471
2007-04-15,12.7555069183
2007-04-16,14.7042649197
2007-04-17,14.5271051014
2007-04-18,14.5271051014
2007-04-19,13.6413060098
2007-04-20,12.9326667366
2007-04-21,11.3382283718
2007-04-22,13.4641461915
2007-04-23,14.881424738
2007-04-24,16.1215434661
2007-04-25,15.7672238295
2007-04-26,15.2357443746
2007-04-27,13.1098265549
2007-04-28,10.9839087352
2007-04-29,14.7042649197
2007-04-30,15.2357443746
2007-05-01,17.3616621943
2007-05-02,17.184502376
2007-05-03,17.5388220126
2007-05-04,15.5900640112
2007-05-05,13.1098265549
2007-05-06,14.7042649197
2007-05-07,15.5900640112
2007-05-08,16.2987032844
2007-05-09,15.5900640112
2007-05-10,15.0585845563
2007-05-11,14.349945283
2007-05-12,14.1727854647
2007-05-13,15.4129041929
2007-05-14,16.6530229211
2007-05-15,17.7159818309
2007-05-16,16.8301827394
2007-05-17,16.2987032844
2007-05-18,16.6530229211
2007-05-19,13.4641461915
2007-05-20,15.0585845563
2007-05-21,16.4758631028
2007-05-22,16.2987032844
2007-05-23,15.5900640112
2007-05-24,15.9443836478
2007-05-25,13.9956256464
2007-05-26,12.9326667366
2007-05-27,12.2240274633
2007-05-28,14.1727854647
2007-05-29,15.9443836478
2007-05-30,15.9443836478
2007-05-31,15.4129041929
2007-06-01,13.8184658281
2007-06-02,13.1098265549
2007-06-03,15.4129041929
2007-06-04,15.2357443746
2007-06-05,14.7042649197
2007-06-06,15.9443836478
2007-06-07,14.7042649197
2007-06-08,13.8184658281
2007-06-09,12.9326667366
2007-06-10,15.9443836478
2007-06-11,15.0585845563
2007-06-12,15.4129041929
2007-06-13,14.5271051014
2007-06-14,13.6413060098
2007-06-15,13.1098265549
2007-06-16,11.3382283718
2007-06-17,14.349945283
2007-06-18,15.0585845563
2007-06-19,13.4641461915
2007-06-20,14.1727854647
2007-06-21,14.349945283
2007-06-22,13.1098265549
2007-06-23,13.6413060098
2007-06-24,14.1727854647
2007-06-25,14.7042649197
2007-06-26,14.5271051014
2007-06-27,15.0585845563
2007-06-28,14.7163439982
2007-06-29,14.7163439982
2007-06-30,15.0585845563
2007-07-01,15.4008251144
2007-07-02,15.7430656725
2007-07-03,15.0585845563
2007-07-04,14.7163439982
2007-07-05,14.7163439982
2007-07-06,14.031862882
2007-07-07,12.6629006496
2007-07-08,14.031862882
2007-07-09,15.0585845563
2007-07-10,15.0585845563
2007-07-11,14.3741034401
2007-07-12,15.0585845563
2007-07-13,13.6896223239
2007-07-14,14.7163439982
2007-07-15,17.1120279049
2007-07-16,15.0585845563
2007-07-17,15.4008251144
2007-07-18,15.0585845563
2007-07-19,14.031862882
2007-07-20,13.3473817658
2007-07-21,13.3473817658
2007-07-22,15.0585845563
2007-07-23,14.031862882
2007-07-24,15.0585845563
2007-07-25,15.4008251144
2007-07-26,16.0853062306
2007-07-27,14.7163439982
2007-07-28,13.6896223239
2007-07-29,14.7163439982
2007-07-30,15.4008251144
2007-07-31,13.3473817658
2007-08-01,14.031862882
2007-08-02,13.3473817658
2007-08-03,12.6629006496
2007-08-04,12.3206600915
2007-08-05,13.6896223239
2007-08-06,13.3473817658
