date,greece,greece bailout,greece debt,greece crisis,greece referendum
2007-01-01,53,0,0,0,0
2007-01-02,54,0,0,0,0
2007-01-03,60,0,0,0,0
2007-01-04,63,0,0,0,0
2007-01-05,60,0,0,0,0
2007-01-06,53,0,0,0,0
2007-01-07,61,0,0,0,0
2007-01-08,64,0,0,0,0
2007-01-09,65,0,0,0,0
2007-01-10,67,0,0,0,0
2007-01-11,70,0,0,0,0
2007-01-12,81,0,0,0,0
2007-01-13,56,0,0,0,0
2007-01-14,66,0,0,0,0
2007-01-15,63,0,0,0,0
2007-01-16,69,0,0,0,0
2007-01-17,71,0,0,0,0
2007-01-18,65,0,0,0,0
2007-01-19,66,0,0,0,0
2007-01-20,57,0,0,0,0
2007-01-21,66,0,0,0,0
2007-01-22,68,0,0,0,0
2007-01-23,69,0,0,0,0
2007-01-24,70,0,0,0,0
2007-01-25,66,0,0,0,0
2007-01-26,62,0,0,0,0
2007-01-27,53,0,0,0,0
2007-01-28,60,0,0,0,0
2007-01-29,69,0,0,0,0
2007-01-30,70,0,0,0,0
2007-01-31,70,0,0,0,0
2007-02-01,65,0,0,0,0
2007-02-02,64,0,0,0,0
2007-02-03,54,0,0,0,0
2007-02-04,61,0,0,0,0
2007-02-05,69,0,0,0,0
2007-02-06,69,0,0,0,0
2007-02-07,74,0,0,0,0
2007-02-08,66,0,0,0,0
2007-02-09,65,0,0,0,0
2007-02-10,56,0,0,0,0
2007-02-11,64,0,0,0,0
2007-02-12,67,0,0,0,0
2007-02-13,71,0,0,0,0
2007-02-14,61,0,0,0,0
2007-02-15,68,0,0,0,0
2007-02-16,63,0,0,0,0
2007-02-17,56,0,0,0,0
2007-02-18,64,0,0,0,0
2007-02-19,65,0,0,0,0
2007-02-20,69,0,0,0,0
2007-02-21,74,0,0,0,0
2007-02-22,72,0,0,0,0
2007-02-23,64,0,0,0,0
2007-02-24,53,0,0,0,0
2007-02-25,69,0,0,0,0
2007-02-26,73,0,0,0,0
2007-02-27,71,0,0,0,0
2007-02-28,72,0,0,0,0
2007-03-01,69,0,0,0,0
2007-03-02,62,0,0,0,0
2007-03-03,58,0,0,0,0
2007-03-04,69,0,0,0,0
2007-03-05,69,0,0,0,0
2007-03-06,74,0,0,0,0
2007-03-07,76,0,0,0,0
2007-03-08,75,0,0,0,0
2007-03-09,71,0,0,0,0
2007-03-10,62,0,0,0,0
2007-03-11,69,0,0,0,0
2007-03-12,81,0,0,0,0
2007-03-13,72,0,0,0,0
2007-03-14,78,0,0,0,0
2007-03-15,74,0,0,0,0
2007-03-16,69,0,0,0,0
2007-03-17,59,0,0,0,0
2007-03-18,74,0,0,0,0
2007-03-19,74,0,0,0,0
2007-03-20,74,0,0,0,0
2007-03-21,75,0,0,0,0
2007-03-22,71,0,0,0,0
2007-03-23,73,0,0,0,0
2007-03-24,87,0,0,0,0
2007-03-25,100,0,0,0,0
2007-03-26,83,0,0,0,0
2007-03-27,80,0,0,0,0
2007-03-28,82,0,0,0,0
2007-03-29,74,0,0,0,0
2007-03-30,72,0,0,0,0
2007-03-31,64,0,0,0,0
2007-04-01,76,0,0,0,0
2007-04-02,78,0,0,0,0
2007-04-03,78,0,0,0,0
2007-04-04,76,0,0,0,0
2007-04-05,70,0,0,0,0
2007-04-06,76,0,0,0,0
2007-04-07,74,0,0,0,0
2007-04-08,75,0,0,0,0
2007-04-09,74,0,0,0,0
2007-04-10,81,0,0,0,0
2007-04-11,77,0,0,0,0
2007-04-12,82,0,0,0,0
2007-04-13,74,0,0,0,0
2007-04-14,65,0,0,0,0
2007-04-15,79,0,0,0,0
2007-04-16,83,0,0,0,0
2007-04-17,85,0,0,0,0
2007-04-18,84,0,0,0,0
2007-04-19,80,0,0,0,0
2007-04-20,75,0,0,0,0
2007-04-21,65,0,0,0,0
2007-04-22,77,0,0,0,0
2007-04-23,81,0,0,0,0
2007-04-24,88,0,0,0,0
2007-04-25,83,0,0,0,0
2007-04-26,86,0,0,0,0
2007-04-27,76,0,0,0,0
2007-04-28,69,0,0,0,0
2007-04-29,82,0,0,0,0
2007-04-30,86,0,0,0,0
2007-05-01,94,0,0,0,0
2007-05-02,98,0,0,0,0
2007-05-03,92,0,0,0,0
