SQLDATE,S_Log_All_Crisis_Yes,S_Log_Exchange
20080101,6.28758,0.3751149
20080102,6.231508,0.3753931
20080103,6.183813,0.3757755
20080104,6.14721,0.3762384
20080105,6.117403,0.376762
20080106,6.087497,0.3772601
20080107,6.064301,0.3777553
20080108,6.049344,0.3782062
20080109,6.04428,0.3786691
20080110,6.050802,0.3791691
20080111,6.060957,0.379694
20080112,6.068564,0.3802339
20080113,6.071437,0.3808411
20080114,6.08042,0.3814734
20080115,6.094507,0.3819845
20080116,6.113694,0.3824245
20080117,6.135587,0.382752
20080118,6.160808,0.382985
20080119,6.18426,0.3831393
20080120,6.206516,0.3832281
20080121,6.232242,0.3832583
20080122,6.257959,0.3832168
20080123,6.288731,0.3832287
20080124,6.321434,0.3832403
20080125,6.354072,0.3832516
20080126,6.378517,0.3832624
20080127,6.391603,0.3833515
20080128,6.401531,0.3834883
20080129,6.410675,0.3836725
20080130,6.422207,0.383933
20080131,6.433712,0.3842595
20080201,6.444541,0.3846363
20080202,6.446979,0.3850498
20080203,6.443035,0.3854764
20080204,6.441716,0.3857774
20080205,6.443696,0.3859801
20080206,6.449859,0.3859966
20080207,6.459984,0.385869
20080208,6.473396,0.3856261
20080209,6.479441,0.3852922
20080210,6.481588,0.3848886
20080211,6.487065,0.3844917
20080212,6.492438,0.3840883
20080213,6.499721,0.383729
20080214,6.50849,0.3834357
20080215,6.519177,0.3831986
20080216,6.530166,0.3830095
20080217,6.543731,0.3828612
20080218,6.560835,0.3827935
20080219,6.577834,0.3827383
20080220,6.592696,0.3827953
20080221,6.604954,0.3829508
20080222,6.612059,0.3831846
20080223,6.611733,0.3834794
20080224,6.610044,0.3838187
20080225,6.612813,0.3842357
20080226,6.615034,0.3848734
20080227,6.616871,0.3857099
20080228,6.621086,0.3867089
20080229,6.624355,0.3878295
01mar2008,6.621605,0.3890375
02mar2008,6.612899,0.3903093
03mar2008,6.608263,0.3916301
04mar2008,6.605805,0.3930246
05mar2008,6.607769,0.3945131
06mar2008,6.61344,0.3960479
07mar2008,6.623063,0.3976048
08mar2008,6.631732,0.3991641
09mar2008,6.628158,0.4007331
10mar2008,6.623083,0.4022683
11mar2008,6.618492,0.4038684
12mar2008,6.613542,0.4055625
13mar2008,6.604621,0.4073285
14mar2008,6.599626,0.409135
15mar2008,6.584956,0.4109564
16mar2008,6.561518,0.4128743
17mar2008,6.538963,0.4148631
18mar2008,6.522943,0.4167991
19mar2008,6.507141,0.4185282
20mar2008,6.493002,0.4200918
21mar2008,6.485455,0.4215057
22mar2008,6.468692,0.4227841
23mar2008,6.451519,0.4239058
24mar2008,6.433871,0.4250189
25mar2008,6.418694,0.4262199
26mar2008,6.406654,0.4275035
27mar2008,6.396327,0.4288164
28mar2008,6.388472,0.43014
29mar2008,6.378627,0.4314589
30mar2008,6.371497,0.4327901
31mar2008,6.366776,0.4339969
20080401,6.363726,0.4350929
20080402,6.354622,0.4361194
20080403,6.343741,0.4371227
20080404,6.324322,0.4380971
20080405,6.316275,0.4390385
20080406,6.286297,0.4399297
20080407,6.265326,0.4407662
20080408,6.253185,0.4416128
20080409,6.247451,0.4424213
20080410,6.248367,0.4432236
20080411,6.254726,0.4440129
20080412,6.261182,0.4447839
20080413,6.265785,0.4455519
20080414,6.273972,0.4462933
20080415,6.288922,0.4471172
20080416,6.307621,0.4479658
20080417,6.327704,0.448711
20080418,6.349621,0.4493649
20080419,6.365863,0.4499385
20080420,6.378692,0.450529
20080421,6.396662,0.4512084
20080422,6.414855,0.4518826
20080423,6.432201,0.4524003
20080424,6.446638,0.4527643
20080425,6.458065,0.4530001
20080426,6.465965,0.4531297
20080427,6.46893,0.453181
20080428,6.474487,0.4531401
20080429,6.46905,0.4530019
20080430,6.467606,0.4527154
01may2008,6.466832,0.4522941
02may2008,6.46664,0.4517678
03may2008,6.454393,0.4511618
04may2008,6.432133,0.4505361
05may2008,6.417534,0.4499373
06may2008,6.405503,0.4492513
07may2008,6.398989,0.4485267
08may2008,6.400164,0.4478029
09may2008,6.393317,0.4470869
10may2008,6.367533,0.4463843
11may2008,6.344042,0.4457571
12may2008,6.327057,0.4451799
13may2008,6.316936,0.4446218
14may2008,6.3177,0.4441009
15may2008,6.322975,0.443679
16may2008,6.330416,0.4433416
17may2008,6.336543,0.443076
18may2008,6.337167,0.4428229
19may2008,6.340258,0.4426794
20may2008,6.345965,0.4426929
21may2008,6.356326,0.4427896
22may2008,6.365954,0.4430041
23may2008,6.377882,0.443312
24may2008,6.385249,0.4436923
25may2008,6.389728,0.4441276
26may2008,6.395857,0.4445693
27may2008,6.40482,0.4449463
28may2008,6.414312,0.4452021
29may2008,6.424976,0.4453785
30may2008,6.435416,0.4454888
31may2008,6.438894,0.4455443
20080601,6.437913,0.4455487
20080602,6.440098,0.4454496
20080603,6.44722,0.445267
20080604,6.459147,0.4450876
20080605,6.473619,0.4450218
20080606,6.491713,0.4450489
20080607,6.505269,0.4451508
20080608,6.514205,0.445304
20080609,6.528208,0.4453402
20080610,6.544778,0.4453386
20080611,6.56505,0.4452134
20080612,6.58646,0.4449569
20080613,6.601872,0.4445966
20080614,6.614525,0.4441558
20080615,6.623306,0.4437217
20080616,6.63222,0.4433276
20080617,6.640985,0.442959
20080618,6.651327,0.4426146
20080619,6.656768,0.4423731
20080620,6.650215,0.4422172
20080621,6.640328,0.4421323
20080622,6.624294,0.4420196
20080623,6.61098,0.4419491
20080624,6.601919,0.4419002
20080625,6.59688,0.4419765
20080626,6.594986,0.4421605
20080627,6.592179,0.4424298
20080628,6.586918,0.4427656
20080629,6.575621,0.4431512
20080630,6.568364,0.4435923
20080701,6.56954,0.4441315
20080702,6.574102,0.4446428
20080703,6.580333,0.4451264
20080704,6.582076,0.4455827
20080705,6.57858,0.4460123
20080706,6.571033,0.4463765
20080707,6.567722,0.4466885
20080708,6.568774,0.4470131
20080709,6.57266,0.4473617
20080710,6.577766,0.4478066
20080711,6.58454,0.4483249
20080712,6.583996,0.4488976
20080713,6.578213,0.4495187
20080714,6.569252,0.4501784
20080715,6.560663,0.4508148
20080716,6.555704,0.451435
20080717,6.55557,0.452032
20080718,6.558084,0.4526043
20080719,6.555178,0.4531508
20080720,6.552405,0.4536848
20080721,6.552943,0.4541617
20080722,6.556653,0.4545222
20080723,6.561258,0.4547523
20080724,6.568169,0.4548937
20080725,6.581264,0.4549617
20080726,6.592456,0.4549697
20080727,6.59965,0.4549671
20080728,6.60236,0.4548545
20080729,6.599421,0.4546353
20080730,6.587745,0.4543512
20080731,6.578231,0.4540032
20080801,6.570889,0.453607
20080802,6.562278,0.4531757
20080803,6.547487,0.4527215
20080804,6.536483,0.4521883
20080805,6.527687,0.4515582
20080806,6.513515,0.4508117
20080807,6.488201,0.4497848
20080808,6.468093,0.4485411
20080809,6.437877,0.4471343
20080810,6.390767,0.44555
20080811,6.337063,0.4438024
20080812,6.296525,0.4419331
20080813,6.253857,0.4399579
20080814,6.213558,0.4378076
20080815,6.167759,0.4355371
20080816,6.111469,0.4331917
20080817,6.055194,0.4308331
20080818,6.012995,0.4284982
20080819,5.974368,0.4261752
20080820,5.955561,0.4240028
20080821,5.951187,0.4219236
20080822,5.95645,0.4199406
20080823,5.963746,0.4180554
20080824,5.972043,0.4162702
20080825,5.984235,0.4144869
20080826,5.999518,0.4127393
20080827,6.016312,0.4110388
20080828,6.035682,0.4093825
20080829,6.055296,0.4077786
20080830,6.074122,0.4062331
20080831,6.091656,0.4047505
20080901,6.110954,0.4032328
20080902,6.131241,0.4016793
20080903,6.143162,0.4000227
20080904,6.144219,0.3982385
20080905,6.13696,0.3963688
20080906,6.118837,0.3944484
20080907,6.109434,0.3924028
20080908,6.098055,0.3903093
20080909,6.09524,0.3880895
20080910,6.099669,0.3857317
20080911,6.111115,0.3834513
20080912,6.122837,0.3812565
20080913,6.130291,0.379153
20080914,6.134941,0.3771466
20080915,6.141006,0.3752248
20080916,6.149293,0.373433
20080917,6.158365,0.3718812
20080918,6.17058,0.3705407
20080919,6.181211,0.3693849
20080920,6.186445,0.3683901
20080921,6.183542,0.3677511
20080922,6.183292,0.3674336
20080923,6.183159,0.3673242
20080924,6.185256,0.3673761
20080925,6.187026,0.3675259
20080926,6.185082,0.3677537
20080927,6.175175,0.3680423
20080928,6.160493,0.3682288
20080929,6.152662,0.36812
20080930,6.151538,0.3677568
01oct2008,6.156266,0.3670449
02oct2008,6.163666,0.3660302
03oct2008,6.174918,0.3647805
04oct2008,6.182899,0.3633528
05oct2008,6.190723,0.3615698
06oct2008,6.202953,0.3596207
07oct2008,6.213965,0.3575792
08oct2008,6.227592,0.3554584
09oct2008,6.242062,0.3531656
10oct2008,6.260083,0.3507562
11oct2008,6.274365,0.3482766
12oct2008,6.284969,0.3457649
13oct2008,6.301873,0.3433902
14oct2008,6.319467,0.3410833
15oct2008,6.336133,0.3387426
16oct2008,6.353677,0.336432
17oct2008,6.36687,0.3341689
18oct2008,6.372029,0.3319671
19oct2008,6.367978,0.3297262
20oct2008,6.361655,0.3273156
21oct2008,6.354401,0.3245857
22oct2008,6.348368,0.3216581
23oct2008,6.345886,0.3184121
24oct2008,6.345279,0.3149408
25oct2008,6.339264,0.3113216
26oct2008,6.331161,0.307465
27oct2008,6.326359,0.3034787
28oct2008,6.325875,0.2997234
29oct2008,6.330392,0.296192
30oct2008,6.33867,0.2927456
31oct2008,6.347641,0.2894025
20081101,6.347416,0.2861766
20081102,6.343921,0.283107
20081103,6.34242,0.2804293
20081104,6.346207,0.2781096
20081105,6.351121,0.2758838
20081106,6.359802,0.2737727
20081107,6.369879,0.2717755
20081108,6.374182,0.2698907
20081109,6.379897,0.2681024
20081110,6.389552,0.2664101
20081111,6.402454,0.2646531
20081112,6.415713,0.2628355
20081113,6.428682,0.2611495
