SQLDATE,c,c_ire,c_esp,c_prt,c_cyp,c_ita,c_deu,c_bel
20070101,9340,9,103,3,29,44,158,11
20070102,13025,25,177,2,18,56,249,61
20070103,18343,33,238,31,7,237,395,93
20070104,20793,143,212,15,16,129,304,40
20070105,19530,71,143,10,43,131,486,31
20070106,12830,29,75,2,12,73,161,29
20070107,13867,44,111,0,9,91,69,50
20070108,18974,126,86,36,30,143,405,136
20070109,26176,105,212,51,36,265,614,209
20070110,27549,62,284,98,16,438,538,135
20070111,29318,90,170,69,18,222,415,128
20070112,25234,89,286,36,64,181,393,128
20070113,18048,77,188,15,19,268,242,31
20070114,18195,72,142,13,15,145,219,39
20070115,21999,62,154,8,27,319,493,209
20070116,23901,132,261,27,40,240,313,152
20070117,27189,64,222,33,37,279,656,164
20070118,29208,137,151,56,23,463,680,89
20070119,25589,41,111,1,50,246,516,90
20070120,17394,13,72,4,22,82,225,43
20070121,16207,18,129,13,1,128,272,135
20070122,24011,94,131,22,37,277,357,184
20070123,23490,26,145,47,13,341,450,116
20070124,27157,50,159,32,56,300,301,121
20070125,25755,68,156,27,39,211,514,80
20070126,25349,99,316,48,32,148,457,173
20070127,16202,29,145,26,27,96,238,74
20070128,16352,211,93,42,1,81,136,108
20070129,25027,310,195,47,52,198,357,106
20070130,28412,235,182,65,57,210,390,129
20070131,25479,61,188,127,96,228,848,147
20070201,25428,87,147,54,79,216,562,88
20070202,24462,74,138,58,128,231,492,34
20070203,16387,33,88,15,18,90,379,23
20070204,15683,28,112,1,5,48,394,12
20070205,24270,61,163,12,24,202,451,40
20070206,28031,71,173,25,0,293,540,126
20070207,27649,21,189,19,47,472,616,96
20070208,26791,31,333,43,18,332,493,79
20070209,25896,23,371,37,56,331,1072,80
20070210,15462,26,167,24,1,125,650,47
20070211,15358,23,160,68,7,231,565,41
20070212,25293,21,342,77,17,369,879,232
20070213,26446,44,264,27,42,310,579,175
20070214,26318,68,262,52,8,365,365,106
20070215,27606,75,384,42,135,464,474,84
20070216,23899,41,421,2,47,729,469,101
20070217,17312,37,101,10,24,344,183,30
20070218,14973,8,89,4,5,158,293,47
20070219,21625,68,202,28,13,228,494,65
20070220,25556,46,249,32,13,246,685,117
20070221,28042,108,212,8,89,494,691,140
20070222,26392,60,128,16,25,643,672,80
20070223,25689,60,125,17,70,508,538,89
