SQLDATE,c,c_yes,c_norm,c_norm_lag1,c_norm_lag2,c_norm_lag3,c_norm_lag4,c_norm_lag5
20070106,12830,14,0.0280099962128,0.114348028208,0.0308627432489,0.0517777326585,0.0354736963278,0.00549660831157
20070107,13867,37,0.0684905855741,0.0280099962128,0.114348028208,0.0308627432489,0.0517777326585,0.0354736963278
20070108,18974,39,0.0527615300825,0.0684905855741,0.0280099962128,0.114348028208,0.0308627432489,0.0517777326585
20070109,26176,35,0.0343223039626,0.0527615300825,0.0684905855741,0.0280099962128,0.114348028208,0.0308627432489
20070110,27549,114,0.10622107274,0.0343223039626,0.0527615300825,0.0684905855741,0.0280099962128,0.114348028208
20070111,29318,31,0.0271418236328,0.10622107274,0.0343223039626,0.0527615300825,0.0684905855741,0.0280099962128
20070112,25234,174,0.177000633344,0.0271418236328,0.10622107274,0.0343223039626,0.0527615300825,0.0684905855741
20070113,18048,107,0.152183078857,0.177000633344,0.0271418236328,0.10622107274,0.0343223039626,0.0527615300825
20070114,18195,45,0.0634851462861,0.152183078857,0.177000633344,0.0271418236328,0.10622107274,0.0343223039626
20070115,21999,89,0.103848143667,0.0634851462861,0.152183078857,0.177000633344,0.0271418236328,0.10622107274
20070116,23901,147,0.157874843722,0.103848143667,0.0634851462861,0.152183078857,0.177000633344,0.0271418236328
20070117,27189,46,0.0434286438446,0.157874843722,0.103848143667,0.0634851462861,0.152183078857,0.177000633344
20070118,29208,68,0.0597611248775,0.0434286438446,0.157874843722,0.103848143667,0.0634851462861,0.152183078857
20070119,25589,76,0.0762380797194,0.0597611248775,0.0434286438446,0.157874843722,0.103848143667,0.0634851462861
20070120,17394,46,0.0678844082724,0.0762380797194,0.0597611248775,0.0434286438446,0.157874843722,0.103848143667
20070121,16207,17,0.0269251393753,0.0678844082724,0.0762380797194,0.0597611248775,0.0434286438446,0.157874843722
20070122,24011,36,0.0384861017592,0.0269251393753,0.0678844082724,0.0762380797194,0.0597611248775,0.0434286438446
20070123,23490,36,0.0393397100613,0.0384861017592,0.0269251393753,0.0678844082724,0.0762380797194,0.0597611248775
20070124,27157,122,0.115316037097,0.0393397100613,0.0384861017592,0.0269251393753,0.0678844082724,0.0762380797194
20070125,25755,61,0.0607966922817,0.115316037097,0.0393397100613,0.0384861017592,0.0269251393753,0.0678844082724
20070126,25349,58,0.0587325467384,0.0607966922817,0.115316037097,0.0393397100613,0.0384861017592,0.0269251393753
20070127,16202,24,0.0380236921096,0.0587325467384,0.0607966922817,0.115316037097,0.0393397100613,0.0384861017592
20070128,16352,22,0.0345353191004,0.0380236921096,0.0587325467384,0.0607966922817,0.115316037097,0.0393397100613
20070129,25027,73,0.0748730866463,0.0345353191004,0.0380236921096,0.0587325467384,0.0607966922817,0.115316037097
