c_norm,c_norm_lag1,c_norm_lag2,c_norm_lag3,c_norm_lag4,c_norm_lag5
0.1909275487,0.2500808966,0.2705241399,0.4228898268,0.2937129044,0.2865541014
0.2300806938,0.1909275487,0.2500808966,0.2705241399,0.4228898268,0.2937129044
0.2350949814,0.2300806938,0.1909275487,0.2500808966,0.2705241399,0.4228898268
0.3252260702,0.2350949814,0.2300806938,0.1909275487,0.2500808966,0.2705241399
0.4456874744,0.3252260702,0.2350949814,0.2300806938,0.1909275487,0.2500808966
0.2413747023,0.4456874744,0.3252260702,0.2350949814,0.2300806938,0.1909275487
0.3379661807,0.2413747023,0.4456874744,0.3252260702,0.2350949814,0.2300806938
0.4096943884,0.3379661807,0.2413747023,0.4456874744,0.3252260702,0.2350949814
0.2609503158,0.4096943884,0.3379661807,0.2413747023,0.4456874744,0.3252260702
0.349173287,0.2609503158,0.4096943884,0.3379661807,0.2413747023,0.4456874744
0.3593457414,0.349173287,0.2609503158,0.4096943884,0.3379661807,0.2413747023
0.3175580396,0.3593457414,0.349173287,0.2609503158,0.4096943884,0.3379661807
0.3561778081,0.3175580396,0.3593457414,0.349173287,0.2609503158,0.4096943884
0.2410943803,0.3561778081,0.3175580396,0.3593457414,0.349173287,0.2609503158
0.1564779969,0.2410943803,0.3561778081,0.3175580396,0.3593457414,0.349173287
0.2528406496,0.1564779969,0.2410943803,0.3561778081,0.3175580396,0.3593457414
0.2940944789,0.2528406496,0.1564779969,0.2410943803,0.3561778081,0.3175580396
0.3508275771,0.2940944789,0.2528406496,0.1564779969,0.2410943803,0.3561778081
0.3034554548,0.3508275771,0.2940944789,0.2528406496,0.1564779969,0.2410943803
0.2542181657,0.3034554548,0.3508275771,0.2940944789,0.2528406496,0.1564779969
0.3191340835,0.2542181657,0.3034554548,0.3508275771,0.2940944789,0.2528406496
0.2725175414,0.3191340835,0.2542181657,0.3034554548,0.3508275771,0.2940944789
0.1923413656,0.2725175414,0.3191340835,0.2542181657,0.3034554548,0.3508275771
0.2930307412,0.1923413656,0.2725175414,0.3191340835,0.2542181657,0.3034554548
0.2714242264,0.2930307412,0.1923413656,0.2725175414,0.3191340835,0.2542181657
0.3792265351,0.2714242264,0.2930307412,0.1923413656,0.2725175414,0.3191340835
0.2925722547,0.3792265351,0.2714242264,0.2930307412,0.1923413656,0.2725175414
0.3430688288,0.2925722547,0.3792265351,0.2714242264,0.2930307412,0.1923413656
0.1873168401,0.3430688288,0.2925722547,0.3792265351,0.2714242264,0.2930307412
0.1581229631,0.1873168401,0.3430688288,0.2925722547,0.3792265351,0.2714242264
0.2479667982,0.1581229631,0.1873168401,0.3430688288,0.2925722547,0.3792265351
0.2637852493,0.2479667982,0.1581229631,0.1873168401,0.3430688288,0.2925722547
0.3921208775,0.2637852493,0.2479667982,0.1581229631,0.1873168401,0.3430688288
0.4029855985,0.3921208775,0.2637852493,0.2479667982,0.1581229631,0.1873168401
0.4583710801,0.4029855985,0.3921208775,0.2637852493,0.2479667982,0.1581229631
0.309030719,0.4583710801,0.4029855985,0.3921208775,0.2637852493,0.2479667982
0.4450245915,0.309030719,0.4583710801,0.4029855985,0.3921208775,0.2637852493
0.4764729125,0.4450245915,0.309030719,0.4583710801,0.4029855985,0.3921208775
0.3625012454,0.4764729125,0.4450245915,0.309030719,0.4583710801,0.4029855985
0.3832244327,0.3625012454,0.4764729125,0.4450245915,0.309030719,0.4583710801
0.5362402968,0.3832244327,0.3625012454,0.4764729125,0.4450245915,0.309030719
0.7529176374,0.5362402968,0.3832244327,0.3625012454,0.4764729125,0.4450245915
0.4131370422,0.7529176374,0.5362402968,0.3832244327,0.3625012454,0.4764729125
0.2555006064,0.4131370422,0.7529176374,0.5362402968,0.3832244327,0.3625012454
0.3293404159,0.2555006064,0.4131370422,0.7529176374,0.5362402968,0.3832244327
0.3047155295,0.3293404159,0.2555006064,0.4131370422,0.7529176374,0.5362402968
0.4276066405,0.3047155295,0.3293404159,0.2555006064,0.4131370422,0.7529176374
0.4635071711,0.4276066405,0.3047155295,0.3293404159,0.2555006064,0.4131370422
0.4214500039,0.4635071711,0.4276066405,0.3047155295,0.3293404159,0.2555006064
0.2481227143,0.4214500039,0.4635071711,0.4276066405,0.3047155295,0.3293404159
0.2422787107,0.2481227143,0.4214500039,0.4635071711,0.4276066405,0.3047155295
0.2739746196,0.2422787107,0.2481227143,0.4214500039,0.4635071711,0.4276066405
0.3025842008,0.2739746196,0.2422787107,0.2481227143,0.4214500039,0.4635071711
0.378407543,0.3025842008,0.2739746196,0.2422787107,0.2481227143,0.4214500039
0.3703769019,0.378407543,0.3025842008,0.2739746196,0.2422787107,0.2481227143
0.3704278507,0.3703769019,0.378407543,0.3025842008,0.2739746196,0.2422787107
0.1988029663,0.3704278507,0.3703769019,0.378407543,0.3025842008,0.2739746196
0.1203558281,0.1988029663,0.3704278507,0.3703769019,0.378407543,0.3025842008
0.1810566294,0.1203558281,0.1988029663,0.3704278507,0.3703769019,0.378407543
0.2400487107,0.1810566294,0.1203558281,0.1988029663,0.3704278507,0.3703769019
0.2707681312,0.2400487107,0.1810566294,0.1203558281,0.1988029663,0.3704278507
0.2674317894,0.2707681312,0.2400487107,0.1810566294,0.1203558281,0.1988029663
0.3641162591,0.2674317894,0.2707681312,0.2400487107,0.1810566294,0.1203558281
0.30558633,0.3641162591,0.2674317894,0.2707681312,0.2400487107,0.1810566294
0.2999369469,0.30558633,0.3641162591,0.2674317894,0.2707681312,0.2400487107
0.3027786574,0.2999369469,0.30558633,0.3641162591,0.2674317894,0.2707681312
0.34361347,0.3027786574,0.2999369469,0.30558633,0.3641162591,0.2674317894
0.4933952008,0.34361347,0.3027786574,0.2999369469,0.30558633,0.3641162591
0.3877978932,0.4933952008,0.34361347,0.3027786574,0.2999369469,0.30558633
0.3804243606,0.3877978932,0.4933952008,0.34361347,0.3027786574,0.2999369469
0.3339727572,0.3804243606,0.3877978932,0.4933952008,0.34361347,0.3027786574
0.543188557,0.3339727572,0.3804243606,0.3877978932,0.4933952008,0.34361347
0.4978887138,0.543188557,0.3339727572,0.3804243606,0.3877978932,0.4933952008
0.3992854127,0.4978887138,0.543188557,0.3339727572,0.3804243606,0.3877978932
0.345624927,0.3992854127,0.4978887138,0.543188557,0.3339727572,0.3804243606
0.3899428968,0.345624927,0.3992854127,0.4978887138,0.543188557,0.3339727572
0.3838205473,0.3899428968,0.345624927,0.3992854127,0.4978887138,0.543188557
0.2530749958,0.3838205473,0.3899428968,0.345624927,0.3992854127,0.4978887138
0.2323049409,0.2530749958,0.3838205473,0.3899428968,0.345624927,0.3992854127
0.2398593241,0.2323049409,0.2530749958,0.3838205473,0.3899428968,0.345624927
0.286954058,0.2398593241,0.2323049409,0.2530749958,0.3838205473,0.3899428968
0.3317631661,0.286954058,0.2398593241,0.2323049409,0.2530749958,0.3838205473
0.2833912422,0.3317631661,0.286954058,0.2398593241,0.2323049409,0.2530749958
0.2295521346,0.2833912422,0.3317631661,0.286954058,0.2398593241,0.2323049409
0.3288500628,0.2295521346,0.2833912422,0.3317631661,0.286954058,0.2398593241
0.2294260876,0.3288500628,0.2295521346,0.2833912422,0.3317631661,0.286954058
0.2913988108,0.2294260876,0.3288500628,0.2295521346,0.2833912422,0.3317631661
0.255374081,0.2913988108,0.2294260876,0.3288500628,0.2295521346,0.2833912422
0.2492668015,0.255374081,0.2913988108,0.2294260876,0.3288500628,0.2295521346
0.2220646209,0.2492668015,0.255374081,0.2913988108,0.2294260876,0.3288500628
0.2272083874,0.2220646209,0.2492668015,0.255374081,0.2913988108,0.2294260876
0.1703618766,0.2272083874,0.2220646209,0.2492668015,0.255374081,0.2913988108
0.4350237669,0.1703618766,0.2272083874,0.2220646209,0.2492668015,0.255374081
0.2831577507,0.4350237669,0.1703618766,0.2272083874,0.2220646209,0.2492668015
0.2827530197,0.2831577507,0.4350237669,0.1703618766,0.2272083874,0.2220646209
0.4253531828,0.2827530197,0.2831577507,0.4350237669,0.1703618766,0.2272083874
0.3508475684,0.4253531828,0.2827530197,0.2831577507,0.4350237669,0.1703618766
0.2954537581,0.3508475684,0.4253531828,0.2827530197,0.2831577507,0.4350237669
0.2938545418,0.2954537581,0.3508475684,0.4253531828,0.2827530197,0.2831577507
0.2534099378,0.2938545418,0.2954537581,0.3508475684,0.4253531828,0.2827530197
0.2959134353,0.2534099378,0.2938545418,0.2954537581,0.3508475684,0.4253531828
0.318861798,0.2959134353,0.2534099378,0.2938545418,0.2954537581,0.3508475684
0.2577401153,0.318861798,0.2959134353,0.2534099378,0.2938545418,0.2954537581
0.2846725299,0.2577401153,0.318861798,0.2959134353,0.2534099378,0.2938545418
0.1966637043,0.2846725299,0.2577401153,0.318861798,0.2959134353,0.2534099378
0.2952143686,0.1966637043,0.2846725299,0.2577401153,0.318861798,0.2959134353
0.259585134,0.2952143686,0.1966637043,0.2846725299,0.2577401153,0.318861798
