c_norm,c_norm_lag1,c_norm_lag2,c_norm_lag3,c_norm_lag4,c_norm_lag5,US_ex
0.1909275487,0.2500808966,0.2705241399,0.4228898268,0.2937129044,0.2865541014,1.3989301977
0.2300806938,0.1909275487,0.2500808966,0.2705241399,0.4228898268,0.2937129044,1.3947000859
0.2350949814,0.2300806938,0.1909275487,0.2500808966,0.2705241399,0.4228898268,1.3902996508
0.3252260702,0.2350949814,0.2300806938,0.1909275487,0.2500808966,0.2705241399,1.3857505414
0.4456874744,0.3252260702,0.2350949814,0.2300806938,0.1909275487,0.2500808966,1.3810915987
0.2413747023,0.4456874744,0.3252260702,0.2350949814,0.2300806938,0.1909275487,1.376417625
0.3379661807,0.2413747023,0.4456874744,0.3252260702,0.2350949814,0.2300806938,1.3717812804
0.4096943884,0.3379661807,0.2413747023,0.4456874744,0.3252260702,0.2350949814,1.3672241274
0.2609503158,0.4096943884,0.3379661807,0.2413747023,0.4456874744,0.3252260702,1.3627787312
0.349173287,0.2609503158,0.4096943884,0.3379661807,0.2413747023,0.4456874744,1.3584618948
0.3593457414,0.349173287,0.2609503158,0.4096943884,0.3379661807,0.2413747023,1.3543250336
0.3175580396,0.3593457414,0.349173287,0.2609503158,0.4096943884,0.3379661807,1.3503699609
0.3561778081,0.3175580396,0.3593457414,0.349173287,0.2609503158,0.4096943884,1.3466297641
0.2410943803,0.3561778081,0.3175580396,0.3593457414,0.349173287,0.2609503158,1.3431011082
0.1564779969,0.2410943803,0.3561778081,0.3175580396,0.3593457414,0.349173287,1.3397797034
0.2528406496,0.1564779969,0.2410943803,0.3561778081,0.3175580396,0.3593457414,1.3366481504
0.2940944789,0.2528406496,0.1564779969,0.2410943803,0.3561778081,0.3175580396,1.3337717088
0.3508275771,0.2940944789,0.2528406496,0.1564779969,0.2410943803,0.3561778081,1.3310679634
0.3034554548,0.3508275771,0.2940944789,0.2528406496,0.1564779969,0.2410943803,1.3285477123
0.2542181657,0.3034554548,0.3508275771,0.2940944789,0.2528406496,0.1564779969,1.3261285066
0.3191340835,0.2542181657,0.3034554548,0.3508275771,0.2940944789,0.2528406496,1.3238157683
0.2725175414,0.3191340835,0.2542181657,0.3034554548,0.3508275771,0.2940944789,1.3216125238
0.1923413656,0.2725175414,0.3191340835,0.2542181657,0.3034554548,0.3508275771,1.319560201
0.2930307412,0.1923413656,0.2725175414,0.3191340835,0.2542181657,0.3034554548,1.3176565264
0.2714242264,0.2930307412,0.1923413656,0.2725175414,0.3191340835,0.2542181657,1.3159370534
0.3792265351,0.2714242264,0.2930307412,0.1923413656,0.2725175414,0.3191340835,1.3144069825
0.2925722547,0.3792265351,0.2714242264,0.2930307412,0.1923413656,0.2725175414,1.312983725
0.3430688288,0.2925722547,0.3792265351,0.2714242264,0.2930307412,0.1923413656,1.3116612978
0.1873168401,0.3430688288,0.2925722547,0.3792265351,0.2714242264,0.2930307412,1.310433633
0.1581229631,0.1873168401,0.3430688288,0.2925722547,0.3792265351,0.2714242264,1.309267735
0.2479667982,0.1581229631,0.1873168401,0.3430688288,0.2925722547,0.3792265351,1.3081999391
0.2637852493,0.2479667982,0.1581229631,0.1873168401,0.3430688288,0.2925722547,1.3072736692
0.3921208775,0.2637852493,0.2479667982,0.1581229631,0.1873168401,0.3430688288,1.3064849675
0.4029855985,0.3921208775,0.2637852493,0.2479667982,0.1581229631,0.1873168401,1.3057865767
0.4583710801,0.4029855985,0.3921208775,0.2637852493,0.2479667982,0.1581229631,1.3051681721
0.309030719,0.4583710801,0.4029855985,0.3921208775,0.2637852493,0.2479667982,1.3046207689
0.4450245915,0.309030719,0.4583710801,0.4029855985,0.3921208775,0.2637852493,1.3040930261
0.4764729125,0.4450245915,0.309030719,0.4583710801,0.4029855985,0.3921208775,1.3036487973
0.3625012454,0.4764729125,0.4450245915,0.309030719,0.4583710801,0.4029855985,1.3033783182
0.3832244327,0.3625012454,0.4764729125,0.4450245915,0.309030719,0.4583710801,1.3032650596
0.5362402968,0.3832244327,0.3625012454,0.4764729125,0.4450245915,0.309030719,1.30327718
0.7529176374,0.5362402968,0.3832244327,0.3625012454,0.4764729125,0.4450245915,1.3033908307
0.4131370422,0.7529176374,0.5362402968,0.3832244327,0.3625012454,0.4764729125,1.3035857022
0.2555006064,0.4131370422,0.7529176374,0.5362402968,0.3832244327,0.3625012454,1.3038442289
0.3293404159,0.2555006064,0.4131370422,0.7529176374,0.5362402968,0.3832244327,1.3041488425
0.3047155295,0.3293404159,0.2555006064,0.4131370422,0.7529176374,0.5362402968,1.3044800079
0.4276066405,0.3047155295,0.3293404159,0.2555006064,0.4131370422,0.7529176374,1.3048372234
0.4635071711,0.4276066405,0.3047155295,0.3293404159,0.2555006064,0.4131370422,1.3052417857
0.4214500039,0.4635071711,0.4276066405,0.3047155295,0.3293404159,0.2555006064,1.3056806818
0.2481227143,0.4214500039,0.4635071711,0.4276066405,0.3047155295,0.3293404159,1.3061431051
